Player,Team,Bye,Pos,Pos Rank,ADP,Rank
DeAndre Hopkins,ARI,12,WR,WR5,18.5,19
Kyler Murray,ARI,12,QB,QB3,35.8,37
Chase Edmonds,ARI,12,RB,RB28,64,64
James Conner,ARI,12,RB,RB36,92.5,91
A.J. Green,ARI,12,WR,WR59,197.3,177
Christian Kirk,ARI,12,WR,WR64,184,185
Rondale Moore,ARI,12,WR,WR66,187,190
Matt Prater,ARI,12,K,K11,205.7,202
Eno Benjamin,ARI,12,RB,RB78,213,265
Ito Smith,ARI,12,RB,RB97,314,325
Calvin Ridley,ATL,6,WR,WR6,20,21
Kyle Pitts,ATL,6,TE,TE4,50.3,49
Mike Davis,ATL,6,RB,RB27,62.5,63
Matt Ryan,ATL,6,QB,QB14,124.8,121
Younghoe Koo,ATL,6,K,K3,139.3,138
Russell Gage,ATL,6,WR,WR58,191.5,174
Javian Hawkins,ATL,6,RB,RB61,197.3,198
Hayden Hurst,ATL,6,TE,TE25,219.5,237
Cordarrelle Patterson,ATL,6,WR,WR86,236.5,255
Qadree Ollison,ATL,6,RB,RB77,210,263
Olamide Zaccheaus,ATL,6,WR,WR89,220,268
Frank Darby,ATL,6,WR,WR94,259,292
D'Onta Foreman,ATL,6,RB,RB91,275,303
J.K. Dobbins,BAL,8,RB,RB15,25.3,24
Lamar Jackson,BAL,8,QB,QB4,43,41
Mark Andrews,BAL,8,TE,TE5,55.8,55
Marquise Brown,BAL,8,WR,WR43,114,110
Gus Edwards,BAL,8,RB,RB42,115.5,111
Justin Tucker,BAL,8,K,K1,128.3,128
Rashod Bateman,BAL,8,WR,WR62,177.7,182
Sammy Watkins,BAL,8,WR,WR87,240,257
Stefon Diggs,BUF,7,WR,WR3,14.5,13
Josh Allen,BUF,7,QB,QB2,29.8,30
Zack Moss,BUF,7,RB,RB35,92.3,90
Devin Singletary,BUF,7,RB,RB41,105.3,106
Tyler Bass,BUF,7,K,K4,153,151
Cole Beasley,BUF,7,WR,WR56,157.3,153
Gabriel Davis,BUF,7,WR,WR69,195.7,197
Emmanuel Sanders,BUF,7,WR,WR76,224.3,218
Matt Breida,BUF,7,RB,RB90,270,298
Dawson Knox,BUF,7,TE,TE35,271,300
Christian McCaffrey,CAR,13,RB,RB1,1,1
D.J. Moore,CAR,13,WR,WR20,56.5,56
Robby Anderson,CAR,13,WR,WR34,88.3,85
Chuba Hubbard,CAR,13,RB,RB51,147.7,167
Terrace Marshall Jr.,CAR,13,WR,WR68,194,195
Sam Darnold,CAR,13,QB,QB32,258.5,279
Dan Arnold,CAR,13,TE,TE34,255,289
David Moore,CAR,13,WR,WR99,277,304
Joey Slye,CAR,13,K,K27,316,326
Shi Smith,CAR,13,WR,WR114,335,345
David Montgomery,CHI,10,RB,RB17,30.8,31
Allen Robinson II,CHI,10,WR,WR12,37.3,38
Justin Fields,CHI,10,QB,QB17,143.8,143
Darnell Mooney,CHI,10,WR,WR55,144.5,144
Damien Williams,CHI,10,RB,RB56,182,184
Tarik Cohen,CHI,10,RB,RB58,186,188
Cole Kmet,CHI,10,TE,TE28,229.5,247
Jimmy Graham,CHI,10,TE,TE30,197,256
Ryan Nall,CHI,10,RB,RB93,281,308
Cairo Santos,CHI,10,K,K24,297,315
Marquise Goodwin,CHI,10,WR,WR105,317,327
Damiere Byrd,CHI,10,WR,WR120,342,352
Joe Mixon,CIN,10,RB,RB13,19.5,20
Ja'Marr Chase,CIN,10,WR,WR25,65.5,68
Tee Higgins,CIN,10,WR,WR29,72.3,73
Tyler Boyd,CIN,10,WR,WR36,89.8,87
Joe Burrow,CIN,10,QB,QB13,97.3,97
Pooka Williams Jr.,CIN,10,RB,RB76,207,261
Evan McPherson,CIN,10,K,K22,250,287
Samaje Perine,CIN,10,RB,RB94,289,309
C.J. Uzomah,CIN,10,TE,TE36,304,320
Nick Chubb,CLE,13,RB,RB5,5.3,5
Kareem Hunt,CLE,13,RB,RB21,44.8,43
Odell Beckham Jr.,CLE,13,WR,WR27,68.3,71
Jarvis Landry,CLE,13,WR,WR38,94.5,93
Baker Mayfield,CLE,13,QB,QB16,134.8,132
Austin Hooper,CLE,13,TE,TE24,213.5,233
Donovan Peoples-Jones,CLE,13,WR,WR83,232,249
Rashard Higgins,CLE,13,WR,WR102,292,311
Cody Parkey,CLE,13,K,K25,306,321
Demetric Felton,CLE,13,WR,WR124,347,357
Ezekiel Elliott,DAL,7,RB,RB6,6.3,6
CeeDee Lamb,DAL,7,WR,WR13,39.8,39
Amari Cooper,DAL,7,WR,WR18,47,46
Dak Prescott,DAL,7,QB,QB5,49.5,48
Michael Gallup,DAL,7,WR,WR47,122.3,117
Tony Pollard,DAL,7,RB,RB45,128.3,127
Greg Zuerlein,DAL,7,K,K7,174,161
Blake Jarwin,DAL,7,TE,TE23,213.7,209
Javonte Williams,DEN,11,RB,RB29,65.3,67
Melvin Gordon III,DEN,11,RB,RB30,66.5,70
Courtland Sutton,DEN,11,WR,WR32,84,82
Jerry Jeudy,DEN,11,WR,WR35,88.8,86
Noah Fant,DEN,11,TE,TE11,103.5,104
Brandon McManus,DEN,11,K,K15,228.3,222
Royce Freeman,DEN,11,RB,RB79,217,267
Mike Boone,DEN,11,RB,RB84,245,284
Tim Patrick,DEN,11,WR,WR100,283.5,307
Teddy Bridgewater,DEN,11,QB,QB36,295,314
