player_id,player_name,recent_team,Pos
00-0031280,D.Carr,LV,QB
00-0034857,J.Allen,BUF,QB
00-0019596,T.Brady,TB,QB
00-0036971,T.Lawrence,JAX,QB
00-0033077,D.Prescott,DAL,QB
00-0036355,J.Herbert,LAC,QB
00-0037013,Z.Wilson,NYJ,QB
00-0033106,J.Goff,DET,QB
00-0033873,P.Mahomes,KC,QB
00-0028118,Ty.Taylor,HOU,QB
00-0031237,T.Bridgewater,DEN,QB
00-0035710,D.Jones,NYG,QB
00-0029604,K.Cousins,MIN,QB
00-0034855,B.Mayfield,CLE,QB
00-0034869,S.Darnold,CAR,QB
00-0029701,R.Tannehill,TEN,QB
00-0035228,K.Murray,ARI,QB
00-0036212,T.Tagovailoa,MIA,QB
00-0036972,M.Jones,NE,QB
00-0023459,Aa.Rodgers,GB,QB
00-0034796,L.Jackson,BAL,QB
00-0029263,R.Wilson,SEA,QB
00-0026498,M.Stafford,LA,QB
00-0036442,J.Burrow,CIN,QB
00-0032950,C.Wentz,IND,QB
00-0022924,B.Roethlisberger,PIT,QB
00-0026143,M.Ryan,ATL,QB
00-0027973,A.Dalton,CHI,QB
00-0031345,J.Garoppolo,SF,QB
00-0031503,J.Winston,NO,QB
00-0036389,J.Hurts,PHI,QB
00-0031800,T.Heinicke,WAS,QB
00-0036264,J.Love,GB,QB
00-0036322,J.Jefferson,MIN,WR
00-0023682,R.Fitzpatrick,WAS,QB
00-0036945,J.Fields,CHI,QB
00-0032496,M.Farley,TEN,S
00-0037012,T.Lance,SF,QB
00-0035632,A.Hooker,TEN,DB
00-0035125,A.Ingold,LV,FB
00-0032956,A.Janovich,CLE,FB
00-0032918,C.Ham,MIN,FB
00-0032813,E.Penny,NYG,FB
00-0035908,G.Nabers,LAC,FB
00-0034171,J.Cabinda,DET,FB
00-0029892,K.Juszczyk,SF,FB
00-0030968,K.Smith,ATL,FB
00-0031595,M.Burton,KC,FB
00-0033376,P.Ricard,BAL,FB
00-0035223,U.Gilbert,PIT,LB
00-0029164,M.Remmers,KC,OT
00-0035042,J.Gillan,CLE,P
00-0033119,J.Brissett,MIA,QB
00-0032268,M.Mariota,LV,QB
00-0032104,A.Abdullah,MIN,RB
00-0036265,A.Dillon,GB,RB
00-0033699,A.Ekeler,LAC,RB
00-0036328,A.Gibson,WAS,RB
00-0033293,A.Jones,GB,RB
00-0033906,A.Kamara,NO,RB
00-0034972,A.Mattison,MIN,RB
00-0029239,B.Bolden,NE,RB
00-0033594,C.Carson,SEA,RB
00-0034681,C.Edmonds,ARI,RB
00-0036360,C.Edwards-Helaire,KC,RB
00-0036555,C.Hubbard,CAR,RB
00-0031045,C.Hyde,JAX,RB
00-0033280,C.McCaffrey,CAR,RB
00-0032972,D.Booker,NYG,RB
00-0033893,D.Cook,MIN,RB
00-0036425,D.Dallas,SEA,RB
00-0035657,D.Harris,NE,RB
00-0035664,D.Henderson,LA,RB
00-0032764,D.Henry,TEN,RB
00-0032187,D.Johnson,HOU,RB
